,Unnamed: 0,Unnamed: 0.1,Values,Date
0,0,0,10735.049805,2019-01-02
1,1,1,10661.25,2019-01-03
2,2,2,10628.650391,2019-01-04
3,3,3,10750.150391,2019-01-07
4,4,4,10733.25,2019-01-08
5,5,5,10749.400391,2019-01-09
6,6,6,10801.799805,2019-01-10
7,7,7,10739.400391,2019-01-11
8,8,8,10692.349609,2019-01-14
9,9,9,10777.549805,2019-01-15
10,10,10,10876.900391,2019-01-16
11,11,11,10844.650391,2019-01-17
12,12,12,10852.200195,2019-01-18
13,13,13,10885.75,2019-01-21
14,14,14,10864.150391,2019-01-22
15,15,15,10811.950195,2019-01-23
16,16,16,10798.650391,2019-01-24
17,17,17,10756.450195,2019-01-25
18,18,18,10630.950195,2019-01-28
19,19,19,10583.650391,2019-01-29
20,20,20,10612.849609,2019-01-30
21,21,21,10678.549805,2019-01-31
22,22,22,10813.450195,2019-02-01
23,23,23,10814.150391,2019-02-04
24,24,24,10886.700195,2019-02-05
25,25,25,10962.700195,2019-02-06
26,26,26,11043.599609,2019-02-07
27,27,27,10925.450195,2019-02-08
28,28,28,10857.099609,2019-02-11
29,29,29,10823.799805,2019-02-12
30,30,30,10718.75,2019-02-14
31,31,31,10620.400391,2019-02-15
32,32,32,10628.400391,2019-02-18
33,33,33,10585.650391,2019-02-19
34,34,34,10646.400391,2019-02-20
35,35,35,10721.5,2019-02-21
36,36,36,10758.400391,2019-02-22
37,37,37,10788.049805,2019-02-25
38,38,38,10729.299805,2019-02-26
39,39,39,10751.200195,2019-02-27
40,40,40,10784.849609,2019-02-28
41,41,41,10823.099609,2019-03-01
42,42,42,10817.0,2019-03-05
43,43,43,10998.849609,2019-03-06
44,44,44,11027.099609,2019-03-07
45,45,45,11008.950195,2019-03-08
46,46,46,11059.849609,2019-03-11
47,47,47,11227.0,2019-03-12
48,48,48,11276.599609,2019-03-13
49,49,49,11313.75,2019-03-14
50,50,50,11370.799805,2019-03-15
51,51,51,11412.5,2019-03-18
52,52,52,11451.25,2019-03-19
53,53,53,11503.099609,2019-03-20
54,54,54,11434.549805,2019-03-22
55,55,55,11311.599609,2019-03-25
56,56,56,11352.450195,2019-03-26
57,57,57,11413.0,2019-03-27
58,58,58,11452.450195,2019-03-28
59,59,59,11644.75,2019-04-01
60,60,60,11655.849609,2019-04-02
61,61,61,11629.150391,2019-04-03
62,62,62,11559.200195,2019-04-04
63,63,63,11609.5,2019-04-05
